Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,official_video,Stream,most_playedon,Total_popularity,Energy_level,Loudness_level,Tempo_level,Speechiness_level,Valence_level,Popularity_level
Gorillaz,Feel Good Inc.,Demon Days,album,81,70,-6.7,17,77,138,3.7,693555221,6220896,169907,True,True,1040234854,Spotify,1733790075,High,Loud,Very Fast,Musical,Happy,Very High
Gorillaz,Rhinestone Eyes,Plastic Beach,album,67,70,-5.8,3,85,92,3.3,72011645,1079128,31003,True,True,310083733,Spotify,382095378,High,Loud,Medium,Very Musical,Very Happy,Very High
Gorillaz,New Gold (Feat. Tame Impala And Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,69,92,-3.9,5,55,108,3.6,8435055,282142,7399,True,True,63063467,Spotify,71498522,Very High,Very Loud,Medium,Very Musical,Neutral,Very High
Gorillaz,On Melancholy Hill,Plastic Beach,album,68,73,-5.8,2,57,120,3.9,211754952,1788577,55229,True,True,434663559,Spotify,646418511,High,Loud,Fast,Very Musical,Neutral,Very High
Gorillaz,Clint Eastwood,Gorillaz,album,66,69,-8.6,17,52,167,5.7,618480958,6197318,155930,True,True,617259738,Youtube,1235740696,High,Loud,Very Fast,Musical,Neutral,Very High
Gorillaz,Dare,Demon Days,album,76,89,-5.9,3,96,120,4.1,259021161,1844658,72008,True,True,323850327,Spotify,582871488,Very High,Loud,Fast,Very Musical,Very Happy,Very High
Gorillaz,New Gold (Feat. Tame Impala And Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,71,89,-7.2,6,35,127,4.6,451996,11686,241,False,True,10666154,Spotify,11118150,Very High,Loud,Fast,Very Musical,Sad,Very High
Gorillaz,She'S My Collar (Feat. Kali Uchis),Humanz (Deluxe),album,72,81,-5.9,3,46,140,3.5,1010982,17675,260,False,False,159605929,Spotify,160616911,Very High,Loud,Very Fast,Very Musical,Neutral,Very High
Gorillaz,Cracker Island (Feat. Thundercat),Cracker Island (feat. Thundercat),single,74,91,-3.3,4,64,120,3.6,24459820,739527,20296,True,True,42671901,Spotify,67131721,Very High,Very Loud,Fast,Very Musical,Happy,Very High
Gorillaz,Dirty Harry,Demon Days,album,62,87,-7.2,16,86,192,3.8,154761056,1386920,39240,True,True,191074713,Spotify,345835769,Very High,Loud,Very Fast,Musical,Very Happy,Very High
Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,59,76,-2.8,2,32,96,5.5,1018811259,4394471,121452,True,True,1055738398,Spotify,2074549657,High,Very Loud,Medium,Very Musical,Sad,Very High
Red Hot Chili Peppers,Under The Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,55,34,-13.5,4,45,84,4.4,246687714,1213572,32761,True,True,1061750522,Spotify,1308438236,Low,Medium,Slow,Very Musical,Neutral,Very High
Red Hot Chili Peppers,Can'T Stop,By the Way (Deluxe Edition),album,61,93,-3.4,4,87,91,4.5,336635759,1740224,32573,True,True,866464951,Spotify,1203100710,Very High,Very Loud,Medium,Very Musical,Very Happy,Very High
Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,59,71,-4.8,2,54,88,3.6,435121530,1890900,37069,True,True,613838674,Spotify,1048960204,High,Very Loud,Slow,Very Musical,Neutral,Very High
Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,45,79,-3.3,5,51,123,4.3,673528656,3140356,60091,True,True,732774515,Spotify,1406303171,High,Very Loud,Fast,Very Musical,Neutral,Very High
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,42,90,-3.7,4,59,104,5.6,320871237,1272266,37004,True,True,860722316,Spotify,1181593553,Very High,Very Loud,Medium,Very Musical,Neutral,Very High
Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,55,91,-2.4,4,73,96,4.7,324228662,1456622,49461,True,True,550067391,Spotify,874296053,Very High,Very Loud,Medium,Very Musical,Happy,Very High
Red Hot Chili Peppers,By The Way,By the Way (Deluxe Edition),album,45,97,-4.9,10,19,122,3.6,179005296,784717,20084,True,True,367485508,Spotify,546490804,Very High,Very Loud,Fast,Musical,Very Sad,Very High
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,66,93,-9.9,4,77,91,4.7,86637926,434837,16029,True,True,301947159,Spotify,388585085,Very High,Loud,Medium,Very Musical,Happy,Very High
Red Hot Chili Peppers,Dark Necessities,The Getaway,album,70,74,-6.8,7,19,91,5.0,440037964,2094182,56516,True,True,385677873,Youtube,825715837,High,Loud,Medium,Very Musical,Very Sad,Very High
50 Cent,In Da Club,Get Rich Or Die Tryin',album,90,72,-2.8,34,80,90,3.2,1682616458,10481678,296745,True,True,1041736808,Youtube,2724353266,High,Very Loud,Medium,Mixed,Very Happy,Very High
50 Cent,Candy Shop,The Massacre,album,61,57,-8.0,46,75,125,3.5,838974650,5014527,113251,True,True,701248893,Youtube,1540223543,Medium,Loud,Fast,Speechy,Happy,Very High
50 Cent,Just A Lil Bit,The Massacre,album,48,69,-6.7,41,52,96,4.0,476133463,2523312,42075,True,True,395155110,Youtube,871288573,High,Loud,Medium,Speechy,Neutral,Very High
50 Cent,P.I.M.P.,Get Rich Or Die Tryin',album,70,75,-3.0,34,88,78,4.2,572659065,3334710,60552,True,True,541728561,Youtube,1114387626,High,Very Loud,Slow,Mixed,Very Happy,Very High
50 Cent,Many Men (Wish Death),Get Rich Or Die Tryin',album,65,82,-2.9,35,41,108,4.3,441155628,2765887,84117,True,True,332175400,Youtube,773331028,Very High,Very Loud,Medium,Mixed,Neutral,Very High
50 Cent,Disco Inferno,The Massacre,album,92,65,-4.8,23,71,97,3.6,39825951,382791,12038,True,True,202477187,Spotify,242303138,High,Very Loud,Medium,Mixed,Happy,Very High
